animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
1/2 finale du top 12 de gym,2020-02-29,2020-02-29,oajlp gymnastique,salle pierre brochard,2020,2,29,2020,2,29,2020-2,0
régate de ligue,2020-03-01,2020-03-01,société des régates d'antibes,stade nautique d'antibes,2020,3,1,2020,3,1,2020-3,0
animation fermeture du bord de mer,2020-03-01,2020-03-01,olympique cyclo club d'antibes,bord de mer côté fort carré,2020,3,1,2020,3,1,2020-3,0
hand ensemble,2020-03-05,2020-03-05,oajlp handball,salle saint claude,2020,3,5,2020,3,5,2020-3,0
tournoi amical master +40 dames,2020-03-07,2020-03-08,as fontonne hockey,stade docteur léger,2020,3,7,2020,3,8,2020-3,1
concours de boules,2020-03-12,2020-03-12,les amis de la pinède,petite et grande pinède,2020,3,12,2020,3,12,2020-3,0
ski nautique,2020-06-27,2020-06-27,belles rives ski nautique club,ponton du belles rives,2020,6,27,2020,6,27,2020-6,0
aquagym,2020-07-01,2020-07-01,cercle des nageurs d'antibes,plage du ponteil,2020,7,1,2020,7,1,2020-7,0
méditation,2020-07-01,2020-07-01,meditbliss,parc exflora,2020,7,1,2020,7,1,2020-7,0
biodonza,2020-07-02,2020-07-02,association bel hêtre,stade nautique d'antibes,2020,7,2,2020,7,2,2020-7,0
zumba,2020-07-03,2020-07-03,sport et culture 06,pinède gould,2020,7,3,2020,7,3,2020-7,0
ski nautique,2020-07-04,2020-07-04,belles rives ski nautique club,ponton du belles rives,2020,7,4,2020,7,4,2020-7,0
aquagym,2020-07-08,2020-07-08,cercle des nageurs d'antibes,plage du ponteil,2020,7,8,2020,7,8,2020-7,0
biodonza,2020-07-09,2020-07-09,association bel hêtre,stade nautique d'antibes,2020,7,9,2020,7,9,2020-7,0
nocturne de pétanque,2020-07-10,2020-07-10,as fontonne boule,clos borriglion,2020,7,10,2020,7,10,2020-7,0
salsa batchata,2020-07-10,2020-07-10,somos latinos,place mariejol,2020,7,10,2020,7,10,2020-7,0
aquagym,2020-07-10,2020-07-10,cercle des nageurs d'antibes,plage du ponteil,2020,7,10,2020,7,10,2020-7,0
méditation,2020-07-15,2020-07-15,meditbliss,parc exflora,2020,7,15,2020,7,15,2020-7,0
biodonza,2020-07-16,2020-07-16,association bel hêtre,stade nautique d'antibes,2020,7,16,2020,7,16,2020-7,0
salsa batchata,2020-07-17,2020-07-17,somos latinos,place mariejol,2020,7,17,2020,7,17,2020-7,0
nocturne de pétanque,2020-07-17,2020-07-17,as fontonne boule,clos borriglion,2020,7,17,2020,7,17,2020-7,0
concours canin ring,2020-07-17,2020-07-18,amicale du chien de travail d'antibes,zi des 3 moulins,2020,7,17,2020,7,18,2020-7,1
ski nautique,2020-07-18,2020-07-18,belles rives ski nautique club,ponton du belles rives,2020,7,18,2020,7,18,2020-7,0
aquagym,2020-07-22,2020-07-22,cercle des nageurs d'antibes,plage du ponteil,2020,7,22,2020,7,22,2020-7,0
méditation,2020-07-22,2020-07-22,meditbliss,parc exflora,2020,7,22,2020,7,22,2020-7,0
biodonza,2020-07-23,2020-07-23,association bel hêtre,stade nautique d'antibes,2020,7,23,2020,7,23,2020-7,0
nocturne de pétanque,2020-07-24,2020-07-24,as fontonne boule,clos borriglion,2020,7,24,2020,7,24,2020-7,0
salsa batchata,2020-07-24,2020-07-24,somos latinos,place mariejol,2020,7,24,2020,7,24,2020-7,0
aquagym,2020-07-29,2020-07-29,cercle des nageurs d'antibes,plage du ponteil,2020,7,29,2020,7,29,2020-7,0
méditation,2020-07-29,2020-07-29,meditbliss,parc exflora,2020,7,29,2020,7,29,2020-7,0
biodonza,2020-07-30,2020-07-30,association bel hêtre,stade nautique d'antibes,2020,7,30,2020,7,30,2020-7,0
salsa batchata,2020-07-30,2020-07-30,somos latinos,place mariejol,2020,7,30,2020,7,30,2020-7,0
nocturne de pétanque,2020-07-30,2020-07-30,as fontonne boule,clos borriglion,2020,7,30,2020,7,30,2020-7,0
marathon estivale féminin de boules,2020-08-02,2020-08-02,as fontonne boule,clos borriglion,2020,8,2,2020,8,2,2020-8,0
biodonza,2020-08-04,2020-08-04,association bel hêtre,stade nautique d'antibes,2020,8,4,2020,8,4,2020-8,0
aquagym,2020-08-05,2020-08-05,cercle des nageurs d'antibes,plage du ponteil,2020,8,5,2020,8,5,2020-8,0
zumba,2020-08-06,2020-08-06,sport et culture 06,pinède gould,2020,8,6,2020,8,6,2020-8,0
nocturne de pétanque,2020-08-07,2020-08-07,as fontonne boule,clos borriglion,2020,8,7,2020,8,7,2020-8,0
salsa batchata,2020-08-07,2020-08-07,somos latinos,place mariejol,2020,8,7,2020,8,7,2020-8,0
biodonza,2020-08-11,2020-08-11,association bel hêtre,stade nautique d'antibes,2020,8,11,2020,8,11,2020-8,0
aquagym,2020-08-12,2020-08-12,cercle des nageurs d'antibes,plage du ponteil,2020,8,12,2020,8,12,2020-8,0
salsa batchata,2020-08-14,2020-08-14,somos latinos,place mariejol,2020,8,14,2020,8,14,2020-8,0
nocturne de pétanque,2020-08-14,2020-08-14,as fontonne boule,clos borriglion,2020,8,14,2020,8,14,2020-8,0
biodonza,2020-08-18,2020-08-18,association bel hêtre,stade nautique d'antibes,2020,8,18,2020,8,18,2020-8,0
aquagym,2020-08-19,2020-08-19,cercle des nageurs d'antibes,plage du ponteil,2020,8,19,2020,8,19,2020-8,0
salsa batchata,2020-08-21,2020-08-21,somos latinos,place mariejol,2020,8,21,2020,8,21,2020-8,0
32ème challenge marc grilli,2020-08-21,2020-08-21,belles rives ski nautique club,ponton du belles rives,2020,8,21,2020,8,21,2020-8,0
nocturne de pétanque,2020-08-21,2020-08-21,as fontonne boule,clos borriglion,2020,8,21,2020,8,21,2020-8,0
biodonza,2020-08-25,2020-08-25,association bel hêtre,stade nautique d'antibes,2020,8,25,2020,8,25,2020-8,0
